,time,brier_score,label
0,0.22291730444133295,1.850122413664775e-05,RSF
1,0.34995375827683317,0.002509453889553716,RSF
2,0.508732690791786,0.007408125576681224,RSF
3,0.5625195667922303,0.013148080952251931,RSF
4,0.6632052328534734,0.018600435708540627,RSF
5,0.7035648323227224,0.024665912510490863,RSF
6,0.7742400770571112,0.02927294304346165,RSF
7,0.8385527169799945,0.033147015717600016,RSF
8,0.8855686392052207,0.03840332089557338,RSF
9,0.9577010053142913,0.04438352178009014,RSF
10,1.0007515094475468,0.05118918690385031,RSF
11,1.0546664362276499,0.055879364930010646,RSF
12,1.083558940265047,0.06056753733497176,RSF
13,1.117934844926745,0.06428182036697183,RSF
14,1.1749008347365963,0.06852590718632623,RSF
15,1.2111455038098524,0.07241601032254084,RSF
16,1.2544323738174066,0.07564081186521818,RSF
17,1.3003268903668315,0.0789135323492343,RSF
18,1.3513969548854705,0.08198500660128935,RSF
19,1.4018836850648217,0.08626179519645844,RSF
20,1.4790530670485313,0.08896008053683274,RSF
21,1.5388618477952523,0.09150335227244545,RSF
22,1.618925509231665,0.0949964637833583,RSF
23,1.6958426858412332,0.09939431009494896,RSF
24,1.7474997287792569,0.1007864754231256,RSF
25,1.8081205738524835,0.10338461854252758,RSF
26,1.8979021145017372,0.10651587374373507,RSF
27,1.9507859564169803,0.10886993404317208,RSF
28,2.037963597721012,0.11221740708216832,RSF
29,2.1166855197134273,0.11355239831990144,RSF
30,2.200311930319439,0.11658722240090526,RSF
31,2.23551139493603,0.1188698114893904,RSF
32,2.31506946151094,0.12126590840960924,RSF
33,2.35819976775772,0.1230427219535805,RSF
34,2.416869549486535,0.1245393842979755,RSF
35,2.478390068030645,0.12698134795507737,RSF
36,2.5225413839086746,0.12751613383421434,RSF
37,2.6344523991246045,0.12744514924509698,RSF
38,2.7087702832222984,0.12769526085922914,RSF
39,2.791190912278003,0.12745518260898983,RSF
40,2.869938281817354,0.12731498591884832,RSF
41,2.9419063535565426,0.12745829950709217,RSF
42,3.0362026201480674,0.1273357541836993,RSF
43,3.1180201782200774,0.12765757101735106,RSF
44,3.208656438199788,0.12955137409491865,RSF
45,3.3094554325992607,0.12983396689762625,RSF
46,3.43212166734614,0.13104117763428347,RSF
47,3.5785637714369534,0.13257669238791203,RSF
48,3.79208379488933,0.1346181182764093,RSF
49,3.9472652469467726,0.13567081939189954,RSF
50,4.099893802380215,0.1359941817371557,RSF
51,4.202697995700233,0.1362245110626331,RSF
52,4.3436109447545705,0.13684687331013579,RSF
53,4.640839020049327,0.13720578667235686,RSF
54,4.791659893219555,0.13660944378002277,RSF
55,4.967908324320719,0.1341047407399911,RSF
56,5.2148566924815585,0.13435272795832714,RSF
57,5.445176916891372,0.1338945930437497,RSF
58,5.675328626644954,0.13250208291415053,RSF
59,5.896238360488527,0.13167689634211616,RSF
60,6.160824981271106,0.13089122407719428,RSF
61,6.288181032946471,0.12987042158662274,RSF
62,6.526928925713903,0.128173013195253,RSF
63,6.663665049897662,0.1283430724346325,RSF
64,6.848002640377683,0.12786985374667842,RSF
65,6.9593023029606735,0.12707453067234745,RSF
66,7.304374856058829,0.127127250227769,RSF
67,7.470553371115322,0.1254495411454903,RSF
68,7.765289130221048,0.12446370107696267,RSF
69,7.866247054296215,0.12255855121912075,RSF
70,8.052771292286637,0.12245993214001288,RSF
71,8.292880994036507,0.12105830551184739,RSF
72,8.46198297172017,0.12013289482291671,RSF
73,8.71951446119475,0.11576443881627127,RSF
74,8.993703664459003,0.11484706188326993,RSF
75,9.243775100554467,0.11477833583018017,RSF
76,9.496019676354404,0.1124777631804858,RSF
77,9.602336718408184,0.11204850777757232,RSF
78,9.85793053586935,0.10848799377152395,RSF
79,10.019611850700647,0.10729720443457184,RSF
80,10.29231028955437,0.10296889610493878,RSF
81,10.45518305855378,0.1001082398420729,RSF
82,10.54633863055403,0.09517848687150463,RSF
83,10.71207678782547,0.09279552626703917,RSF
84,10.876574400339674,0.08879337373001263,RSF
85,11.040017211912021,0.08424106503773678,RSF
86,11.09853917557064,0.08246013682302526,RSF
87,11.231515178554297,0.08247693250205315,RSF
88,11.341034563117566,0.07943060882630734,RSF
89,11.469960297554017,0.07675816836780007,RSF
90,11.63856892256142,0.07520705665574126,RSF
91,11.786023457845927,0.07370373982425962,RSF
92,11.907287881367296,0.06719267021359818,RSF
93,12.200098907326865,0.0592309206707434,RSF
94,12.434706144365808,0.051617680668347286,RSF
95,12.670148033265964,0.048358253821231864,RSF
96,12.894701124499985,0.047436729923123866,RSF
97,13.064223972267882,0.04618473282271693,RSF
98,13.248169107472188,0.03685652442604801,RSF
99,13.728251822550293,0.030028350859556376,RSF
100,14.472154972146786,0.014883009029947407,RSF
0,0.22291730444133295,1.4039151427712602e-06,CPH
1,0.34995375827683317,0.003073791159985996,CPH
2,0.508732690791786,0.009156012428769768,CPH
3,0.5625195667922303,0.01630189588241305,CPH
4,0.6632052328534734,0.024353392405728577,CPH
5,0.7035648323227224,0.03313845999928019,CPH
6,0.7742400770571112,0.03975915185174244,CPH
7,0.8385527169799945,0.045419271435816096,CPH
8,0.8855686392052207,0.053176378091626286,CPH
9,0.9577010053142913,0.06169926848016726,CPH
10,1.0007515094475468,0.07127071436812629,CPH
11,1.0546664362276499,0.07774736723336362,CPH
12,1.083558940265047,0.08371925133243403,CPH
13,1.117934844926745,0.08932552557272135,CPH
14,1.1749008347365963,0.0942212689243627,CPH
15,1.2111455038098524,0.10136458657182654,CPH
16,1.2544323738174066,0.10790209347885389,CPH
17,1.3003268903668315,0.11278716180559814,CPH
18,1.3513969548854705,0.11800074080986667,CPH
19,1.4018836850648217,0.12478186492161263,CPH
20,1.4790530670485313,0.13032570380407021,CPH
21,1.5388618477952523,0.13600884907222052,CPH
22,1.618925509231665,0.14245983129732,CPH
23,1.6958426858412332,0.1482578113283646,CPH
24,1.7474997287792569,0.15123989186574158,CPH
25,1.8081205738524835,0.15759582354496063,CPH
26,1.8979021145017372,0.16260233611742678,CPH
27,1.9507859564169803,0.16674927875356105,CPH
28,2.037963597721012,0.1714232407672401,CPH
29,2.1166855197134273,0.174903360812946,CPH
30,2.200311930319439,0.1807710239865929,CPH
31,2.23551139493603,0.1845623546030995,CPH
32,2.31506946151094,0.18986883326692877,CPH
33,2.35819976775772,0.1945587652354138,CPH
34,2.416869549486535,0.19646821147693283,CPH
35,2.478390068030645,0.20170121286841802,CPH
36,2.5225413839086746,0.20428754821895465,CPH
37,2.6344523991246045,0.20731627006545872,CPH
38,2.7087702832222984,0.2101564107845208,CPH
39,2.791190912278003,0.2117451086210911,CPH
40,2.869938281817354,0.2121481215842044,CPH
41,2.9419063535565426,0.21454192669811545,CPH
42,3.0362026201480674,0.21642952292263176,CPH
43,3.1180201782200774,0.2176641137695145,CPH
44,3.208656438199788,0.2196550720567012,CPH
45,3.3094554325992607,0.22260731603615047,CPH
46,3.43212166734614,0.22409991081912528,CPH
47,3.5785637714369534,0.22505318753723869,CPH
48,3.79208379488933,0.2257971793619334,CPH
49,3.9472652469467726,0.2281511648450518,CPH
50,4.099893802380215,0.22988179848435367,CPH
51,4.202697995700233,0.2312033398114764,CPH
52,4.3436109447545705,0.23234097941547124,CPH
53,4.640839020049327,0.23191573154007486,CPH
54,4.791659893219555,0.2300835215285371,CPH
55,4.967908324320719,0.22921000724604704,CPH
56,5.2148566924815585,0.2284134532061857,CPH
57,5.445176916891372,0.22738624666389792,CPH
58,5.675328626644954,0.22661348372249793,CPH
59,5.896238360488527,0.22581060821302795,CPH
60,6.160824981271106,0.22481055610486345,CPH
61,6.288181032946471,0.22440939320951422,CPH
62,6.526928925713903,0.22531489576160268,CPH
63,6.663665049897662,0.2257481226806477,CPH
64,6.848002640377683,0.22532133996007284,CPH
65,6.9593023029606735,0.22398282388772425,CPH
66,7.304374856058829,0.22330291574444436,CPH
67,7.470553371115322,0.22181086097934688,CPH
68,7.765289130221048,0.22004007688677782,CPH
69,7.866247054296215,0.21774488856593355,CPH
70,8.052771292286637,0.21654448729070339,CPH
71,8.292880994036507,0.21422762838676854,CPH
72,8.46198297172017,0.2127180864505201,CPH
73,8.71951446119475,0.20795320137829823,CPH
74,8.993703664459003,0.2048396188110738,CPH
75,9.243775100554467,0.2037739659211963,CPH
76,9.496019676354404,0.2003545937844413,CPH
77,9.602336718408184,0.1965828999624725,CPH
78,9.85793053586935,0.19105946559822323,CPH
79,10.019611850700647,0.18904056195638047,CPH
80,10.29231028955437,0.1822470530785024,CPH
81,10.45518305855378,0.17826477679997393,CPH
82,10.54633863055403,0.1710714549853916,CPH
83,10.71207678782547,0.16575618907541226,CPH
84,10.876574400339674,0.1611639332951858,CPH
85,11.040017211912021,0.1550188784780516,CPH
86,11.09853917557064,0.15251843153954459,CPH
87,11.231515178554297,0.14979782518395818,CPH
88,11.341034563117566,0.14626562871215992,CPH
89,11.469960297554017,0.14183513064595293,CPH
90,11.63856892256142,0.1399809258951682,CPH
91,11.786023457845927,0.13722830681217055,CPH
92,11.907287881367296,0.12569947612537155,CPH
93,12.200098907326865,0.11701613446965557,CPH
94,12.434706144365808,0.1076297167215145,CPH
95,12.670148033265964,0.10329730542098843,CPH
96,12.894701124499985,0.1009230870827387,CPH
97,13.064223972267882,0.09455005076643382,CPH
98,13.248169107472188,0.07656577996196944,CPH
99,13.728251822550293,0.052693939955284305,CPH
100,14.472154972146786,0.01575593735754937,CPH
